bar_close_et,bar_close_utc,session_date,dir_buy_vol_30s,dir_sell_vol_30s,n_trades_30s,locked_spread_count,day_side_disagree_rate,median_buy_100,median_sell_100,price_at_T,atr_at_T,price_at_T_plus_30s,price_move_30s,p4_threshold,p4_long,p4_short,p2_long,p2_short,delta_ratio_long,delta_ratio_short,p3_long,p3_short,trcb_long,trcb_short,fwd_ret_1min_raw,fwd_ret_1min_signed,fwd_ret_5min_raw,fwd_ret_5min_signed,fwd_ret_15min_raw,fwd_ret_15min_signed,fwd_ret_25min_raw,fwd_ret_25min_signed,hour_only
2026-03-06 13:50:00-05:00,2026-03-06 18:50:00+00:00,2026-03-06,688,518,461,0,0.0,906.5,906.5,6766.5,10.979686206429594,6765.5,-1.0,2.7449215516073986,False,False,False,False,1.3281853281853282,0.752906976744186,False,False,False,False,-7.0,,-9.25,,-9.25,,3.75,,13
2026-03-06 13:55:00-05:00,2026-03-06 18:55:00+00:00,2026-03-06,418,499,345,0,0.0,906.5,906.5,6757.25,10.998994334541766,6756.0,-1.25,2.7497485836354416,False,False,False,False,0.8376753507014028,1.19377990430622,False,False,False,False,2.25,,2.5,,6.75,,11.25,,13
2026-03-06 14:00:00-05:00,2026-03-06 19:00:00+00:00,2026-03-06,523,547,453,0,0.0,893.5,903.0,6759.75,10.73120902493164,6759.75,0.0,2.68280225623291,False,False,False,False,0.9561243144424132,1.0458891013384322,False,False,False,False,2.25,,-2.5,,10.5,,1.75,,14
2026-03-06 14:05:00-05:00,2026-03-06 19:05:00+00:00,2026-03-06,464,415,401,0,0.0,863.5,889.0,6757.25,10.357551237436523,6757.5,0.25,2.5893878093591307,False,False,False,False,1.1180722891566266,0.8943965517241379,False,False,False,False,3.0,,6.75,,11.25,,9.5,,14
2026-03-06 14:10:00-05:00,2026-03-06 19:10:00+00:00,2026-03-06,438,394,419,0,0.0,863.5,870.0,6764.0,10.296297577619628,6766.25,2.25,2.574074394404907,False,False,False,False,1.1116751269035532,0.8995433789954338,False,False,False,False,3.5,,6.25,,-2.5,,5.25,,14
2026-03-06 14:15:00-05:00,2026-03-06 19:15:00+00:00,2026-03-06,309,497,314,0,0.0,843.0,846.5,6770.25,10.239419179218226,6768.5,-1.75,2.5598547948045565,False,False,False,False,0.6217303822937625,1.6084142394822007,False,True,False,False,0.75,,-1.75,,-3.5,,-3.75,,14
2026-03-06 14:20:00-05:00,2026-03-06 19:20:00+00:00,2026-03-06,362,340,285,0,0.0,843.0,846.5,6768.5,10.168746380702638,6769.25,0.75,2.5421865951756595,False,False,False,False,1.0647058823529412,0.9392265193370166,False,False,False,False,1.25,,-7.0,,0.75,,-3.25,,14
2026-03-06 14:25:00-05:00,2026-03-06 19:25:00+00:00,2026-03-06,588,864,569,0,0.0,839.0,824.5,6761.5,10.192407353509592,6760.25,-1.25,2.548101838377398,False,False,False,True,0.6805555555555556,1.469387755102041,False,False,False,False,-0.75,,5.25,,5.0,,2.75,,14
2026-03-06 14:30:00-05:00,2026-03-06 19:30:00+00:00,2026-03-06,991,791,633,0,0.0,836.0,846.5,6766.75,10.30366397111605,6772.0,5.25,2.5759159927790125,True,False,True,False,1.2528445006321112,0.798183652875883,False,False,False,False,2.75,,2.5,,-1.5,,1.0,,14
2026-03-06 14:35:00-05:00,2026-03-06 19:35:00+00:00,2026-03-06,308,325,300,0,0.0,839.0,846.5,6769.25,10.031973687464903,6770.5,1.25,2.507993421866226,False,False,False,False,0.9476923076923077,1.0551948051948052,False,False,False,False,0.75,,-2.75,,-5.0,,-0.5,,14
2026-03-06 14:40:00-05:00,2026-03-06 19:40:00+00:00,2026-03-06,332,346,328,0,0.0,839.0,846.5,6766.5,10.065404138360268,6766.75,0.25,2.516351034590067,False,False,False,False,0.9595375722543352,1.0421686746987953,False,False,False,False,4.0,,-1.25,,1.25,,9.75,,14
2026-03-06 14:45:00-05:00,2026-03-06 19:45:00+00:00,2026-03-06,652,644,512,0,0.0,836.0,811.0,6765.25,10.096446699905963,6765.5,0.25,2.5241116749764907,False,False,False,False,1.0124223602484472,0.9877300613496932,False,False,False,False,-0.5,,-1.0,,3.5,,3.25,,14
2026-03-06 14:50:00-05:00,2026-03-06 19:50:00+00:00,2026-03-06,387,449,320,0,0.0,834.5,792.0,6764.25,9.857414792769823,6765.0,0.75,2.464353698192456,False,False,False,False,0.8619153674832962,1.1602067183462532,False,False,False,False,0.0,,3.5,,12.0,,-6.75,,14
2026-03-06 14:55:00-05:00,2026-03-06 19:55:00+00:00,2026-03-06,889,627,561,0,0.0,832.5,777.5,6767.75,9.72474230757198,6768.75,1.0,2.431185576892995,False,False,True,False,1.4178628389154706,0.7052868391451068,False,False,False,False,0.75,,1.0,,0.75,,-10.0,,14
2026-03-06 15:00:00-05:00,2026-03-06 20:00:00+00:00,2026-03-06,928,926,736,0,0.0,832.5,763.5,6768.75,9.31583214274541,6771.75,3.0,2.3289580356863526,True,False,True,True,1.0021598272138228,0.9978448275862069,False,False,False,False,2.0,,7.5,,-11.25,,-21.0,,15
