timestamp,open,high,low,close,price_levels,absorption
1773156966,25129.0,25129.0,25127.0,25127.0,"{""25129.0"": [0, 1], ""25128.75"": [0, 2], ""25128.25"": [0, 2], ""25128.0"": [0, 1], ""25127.5"": [0, 1], ""25127.25"": [0, 2], ""25127.0"": [0, 2]}",1.0
1773156967,25127.75,25129.0,25127.75,25129.0,"{""25127.75"": [1, 0], ""25128.0"": [0, 2], ""25129.0"": [1, 0]}",-0.0
1773156968,25129.0,25129.0,25127.25,25127.75,"{""25129.0"": [0, 4], ""25128.75"": [0, 2], ""25128.5"": [1, 1], ""25128.0"": [2, 1], ""25127.25"": [0, 1], ""25127.75"": [1, 1], ""25128.25"": [1, 0]}",0.1111111111111111
1773156969,25126.75,25126.75,25124.25,25124.75,"{""25126.75"": [0, 1], ""25126.25"": [0, 2], ""25125.25"": [0, 1], ""25125.0"": [2, 1], ""25124.75"": [4, 5], ""25124.5"": [4, 5], ""25124.25"": [0, 2]}",0.0672153635116598
1773156970,25124.75,25124.75,25123.0,25123.0,"{""25124.75"": [0, 3], ""25124.5"": [0, 7], ""25124.25"": [0, 2], ""25124.0"": [0, 5], ""25123.75"": [0, 1], ""25123.5"": [0, 1], ""25123.25"": [0, 3], ""25123.0"": [0, 6]}",1.0
1773156971,25123.0,25124.0,25123.0,25123.25,"{""25123.0"": [0, 1], ""25123.75"": [3, 0], ""25123.5"": [0, 1], ""25124.0"": [1, 0], ""25123.25"": [0, 1]}",-0.02040816326530612
1773156972,25122.75,25124.25,25122.5,25124.25,"{""25122.75"": [3, 0], ""25123.0"": [1, 0], ""25122.5"": [0, 1], ""25123.25"": [1, 0], ""25124.0"": [1, 0], ""25123.75"": [3, 0], ""25123.5"": [0, 1], ""25124.25"": [2, 0]}",-0.4792899408284023
1773156973,25123.25,25124.0,25122.25,25123.75,"{""25123.25"": [3, 2], ""25123.0"": [0, 1], ""25123.5"": [2, 0], ""25122.75"": [2, 2], ""25122.5"": [0, 2], ""25122.25"": [0, 1], ""25123.75"": [1, 1], ""25124.0"": [2, 0]}",-0.0027700831024930744
1773156974,25122.75,25123.75,25122.5,25123.75,"{""25122.75"": [1, 2], ""25122.5"": [0, 3], ""25123.25"": [3, 0], ""25123.0"": [1, 0], ""25123.5"": [4, 0], ""25123.75"": [3, 0]}",-0.1695501730103806
1773156975,25123.0,25124.5,25123.0,25123.75,"{""25123.0"": [0, 1], ""25124.0"": [1, 0], ""25124.25"": [2, 0], ""25124.5"": [1, 0], ""25123.75"": [2, 0]}",-0.5102040816326531
1773156976,25124.0,25125.0,25124.0,25125.0,"{""25124.0"": [1, 0], ""25124.25"": [1, 0], ""25124.5"": [1, 0], ""25125.0"": [1, 0]}",-1.0
1773156977,25124.5,25124.5,25123.5,25123.5,"{""25124.5"": [2, 1], ""25124.25"": [1, 1], ""25123.5"": [0, 1]}",-0.0
1773156978,25123.75,25123.75,25122.25,25122.5,"{""25123.75"": [1, 1], ""25123.0"": [0, 3], ""25122.25"": [0, 2], ""25122.5"": [2, 2]}",0.20661157024793386
1773156979,25123.5,25123.5,25123.25,25123.25,"{""25123.5"": [0, 1], ""25123.25"": [0, 1]}",1.0
1773156981,25124.0,25124.25,25123.25,25123.25,"{""25124.0"": [2, 1], ""25124.25"": [2, 0], ""25123.75"": [0, 3], ""25123.25"": [0, 3]}",0.07438016528925619
1773156982,25123.25,25123.25,25121.0,25121.0,"{""25123.25"": [1, 0], ""25122.0"": [0, 2], ""25121.75"": [0, 2], ""25121.5"": [0, 5], ""25121.25"": [2, 7], ""25121.0"": [2, 1]}",0.29752066115702475
1773156983,25120.25,25122.25,25120.25,25122.25,"{""25120.25"": [0, 1], ""25121.0"": [1, 0], ""25121.25"": [1, 0], ""25121.75"": [1, 0], ""25122.0"": [3, 0], ""25122.25"": [5, 0]}",-0.6944444444444445
1773156984,25121.0,25121.75,25121.0,25121.5,"{""25121.0"": [1, 0], ""25121.5"": [2, 1], ""25121.75"": [3, 0]}",-0.5102040816326531
