session_date,open_px,midday_px,afternoon_px,last_hr_start_px,last_hr_end_px,ctrl_exit_px,morning_ret,midday_ret,last_hour_ret,full_session_ret,am_total_ret
2026-01-15,7009.0,7013.0,6998.0,6989.5,6985.25,6979.75,0.0005705320365857067,-0.002141175609277095,-0.0006082398799300133,-0.0033942544690716094,-0.0015706435726914692
2026-01-16,6996.5,6985.5,6981.25,6986.75,6978.0,6983.0,-0.001573451905226514,-0.0006085882730307954,-0.0012531554299335895,-0.002647681249048652,-0.0021820401782571847
2026-01-19,6896.5,6910.0,6913.25,6913.25,6913.25,6913.25,0.0019556012461410927,0.0004702222791142374,0.0,0.002425823525255291,0.002425823525255291
2026-01-20,6871.75,6891.75,6836.25,6834.0,6833.25,6825.0,0.0029062395578224416,-0.008085708388121478,-0.00010975141315965707,-0.005618402229203891,-0.005179468830298931
2026-01-21,6852.75,6856.75,6904.5,6942.5,6912.25,6909.5,0.0005835369799781468,0.006939804398588055,-0.004366740369663473,0.008645168264451601,0.0075233413785661405
2026-01-22,6956.0,6953.5,6963.25,6944.0,6945.75,6947.0,-0.00035946655550808595,0.0014011894436858623,0.0002519843783019568,-0.0014746347556856031,0.0010417228881775872
2026-01-23,6935.0,6951.5,6949.75,6949.75,6945.0,6942.75,0.0023764098606660635,-0.0002517759207616935,-0.0006837115003921762,0.001440922439512287,0.0021246339399042255
2026-01-26,6957.75,6984.5,6991.75,6989.5,6980.5,6982.75,0.0038372619661150723,0.00103747437979371,-0.0012884754824805755,0.00326440122721203,0.004874736345908884
2026-01-27,6994.25,7013.25,7015.75,7013.5,7009.25,7009.5,0.0027128340749585987,0.00035640459426378434,-0.0006061578691955204,0.00214232238182319,0.00306923866922238
2026-01-28,7022.75,6999.25,6993.0,7000.5,7010.75,7009.25,-0.0033518787622378956,-0.0008933517362346949,0.0014631102618976471,-0.001710193882461659,-0.004245230498472584
2026-01-29,7015.0,6937.25,6971.5,6962.25,6992.0,6987.75,-0.011145271167220952,0.004924967265735283,0.00426394038721969,-0.0032840752011898846,-0.006220303901485646
2026-01-30,6966.25,6954.5,6960.5,6953.75,6970.25,6959.25,-0.0016881278365612554,0.0008623787814371545,0.0023700097275639533,0.0005740322333207112,-0.000825749055124185
2026-02-02,6943.5,7005.0,7015.5,7002.75,7002.75,7002.75,0.008818209631672362,0.0014978070629432265,0.0,0.008496958892710044,0.010316016694615722
2026-02-03,7009.5,6951.75,6909.75,6913.75,6940.0,6939.25,-0.008272945384538861,-0.0060599687669006565,0.0037895921919623337,-0.009964597307740358,-0.01433291415143937
2026-02-04,6949.25,6910.25,6899.75,6929.25,6908.5,6908.5,-0.005627923509346674,-0.001520637512425239,-0.00299904472223998,-0.005881202569949924,-0.007148561021771948
2026-02-05,6853.5,6856.5,6846.5,6834.25,6820.0,6814.75,0.0004376367684729056,-0.0014595346676204402,-0.002087262965529654,-0.0048999988339281176,-0.0010218978991475168
2026-02-06,6856.25,6917.0,6937.25,6933.5,6950.5,6960.5,0.008821504577044306,0.002923292768755544,0.0024488632232283272,0.013652954393606864,0.011744797345800088
2026-02-09,6935.5,6994.75,6999.5,6995.0,6981.0,6985.0,0.008506718443401425,0.0006788502681336166,-0.002003435129180114,0.006539023767056648,0.00918556871153509
2026-02-10,6989.75,6988.25,6979.5,6977.25,6960.25,6962.75,-0.00021462297979079318,-0.0012528862765428016,-0.0024394630931736977,-0.004229396985542565,-0.0014675092563336363
2026-02-11,7003.75,6958.75,6976.75,6968.25,6959.75,6965.25,-0.006445859381776753,0.002583331780044311,-0.001220563046418277,-0.006302165736380965,-0.003862527601732522
2026-02-12,6981.5,6883.0,6880.0,6890.0,6851.0,6854.25,-0.01420918998388517,-0.0004359514709748618,-0.005676458004805191,-0.018869166379350325,-0.014645141454860094
2026-02-13,6851.5,6883.0,6878.0,6859.75,6852.5,6848.0,0.004586997012108475,-0.0007266914061526254,-0.0010574487302343221,0.00014594279068515586,0.0038603056059557605
2026-02-16,6859.0,6852.0,6854.25,6854.25,6854.25,6854.25,-0.0010210780553108784,0.00032831737641009196,0.0,-0.000692760678900716,-0.000692760678900716
2026-02-17,6835.0,6859.0,6874.5,6870.0,6863.5,6857.25,0.0035051883412715525,0.00225725511796702,-0.0009465905246807871,0.004161045533664274,0.0057624434592385065
2026-02-18,6873.75,6909.75,6898.25,6880.0,6896.5,6904.5,0.0052236488351267455,-0.001665701428006169,0.002395384588185204,0.003304227693549994,0.0035579474071205674
2026-02-19,6870.75,6868.0,6864.25,6857.75,6878.5,6873.75,-0.00040032754606158984,-0.0005461596014077637,0.003021205319251004,0.0011273343376226146,-0.0009464871474692881
2026-02-20,6852.75,6917.25,6917.0,6911.5,6925.0,6918.5,0.009368260237098315,-3.6142183353187905e-05,0.0019513611511273734,0.010488020508699703,0.009332118053745153
