,instrument_id,ts_event,rtype,publisher_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,symbol_x,expiration,strike_price,contract_multiplier,symbol_y,underlying_id,cfi,underlying_price,open_interest,mid_price,T,option_type,implied_vol,gamma,delta
45,42483458,2026-02-27 14:14:59.446528293+00:00,1,1,C,N,0,211.0,1,128,14826,1297846248,209.0,211.5,5,5,1,1,42483458,2026-03-20 13:30:00+00:00,7050.0,50,ESH6 P7050,42140878,OPAFPS,6862.375,167,210.25,0.05560562323091743,put,0.13189329867099292,0.0012978632406591046,-0.8011701759298184
46,42485321,2026-02-27 14:14:59.446528293+00:00,1,1,C,B,0,150.5,1,128,13813,1297846247,149.0,150.0,7,1,2,1,42485321,2026-03-20 13:30:00+00:00,6950.0,50,ESH6 P6950,42140878,OPAFPS,6862.375,112,149.5,0.05560562323091743,put,0.1538424423413274,0.0015136570434829818,-0.6286146520367465
47,42486183,2026-02-27 14:14:59.446528293+00:00,1,1,C,N,0,493.5,1,128,14963,1297846250,481.5,494.0,7,7,1,1,42486183,2026-03-20 13:30:00+00:00,7350.0,50,ESH6 P7350,42140878,OPAFPS,6862.375,438,487.75,0.05560562323091743,put,0.13309819346144797,0.0001749307199311346,-0.9830289574392804
48,42488858,2026-02-27 14:14:53.075137525+00:00,1,1,A,A,0,0.65,25,128,14530,1297814600,0.4,0.65,491,700,8,10,42488858,2026-03-20 13:30:00+00:00,7350.0,50,ESH6 C7350,42140878,OCAFPS,6862.375,1,0.525,0.05560562323091743,call,0.12057802494768424,0.00011451267240326343,0.008178695545709718
49,42497579,2026-02-27 14:14:52.922588975+00:00,1,1,A,A,0,0.45,1,128,13622,1297811664,0.3,0.45,1,799,1,10,42497579,2026-03-20 13:30:00+00:00,7450.0,50,ESH6 C7450,42140878,OCAFPS,6862.375,0,0.375,0.05560562323091743,call,0.1358846863750825,7.046165763538404e-05,0.005404961037059792
50,42499828,2026-02-27 14:14:59.535546067+00:00,1,1,M,A,0,5.9,40,128,17410,1297848475,5.6,5.9,5,180,2,8,42499828,2026-03-20 13:30:00+00:00,7150.0,50,ESH6 C7150,42140878,OCAFPS,6862.375,6,5.75,0.05560562323091743,call,0.11674383960732634,0.0007072737045903264,0.06960088384916878
51,42506170,2026-02-27 14:14:59.446528293+00:00,1,1,C,N,0,296.0,1,128,14895,1297846249,289.0,296.5,10,10,1,1,42506170,2026-03-20 13:30:00+00:00,7150.0,50,ESH6 P7150,42140878,OPAFPS,6862.375,245,292.75,0.05560562323091743,put,0.11658706637747386,0.000706108244021717,-0.9286138606308405
52,42538646,2026-02-27 14:14:59.446528293+00:00,1,1,C,N,0,395.0,1,128,14963,1297846250,382.0,395.5,7,5,1,1,42538646,2026-03-20 13:30:00+00:00,7250.0,50,ESH6 P7250,42140878,OPAFPS,6862.375,340,388.75,0.05560562323091743,put,0.11947928643844632,0.0003159597579847918,-0.9715775131017574
53,42545724,2026-02-27 14:14:53.074936893+00:00,1,1,A,A,0,1.45,25,128,13197,1297814599,1.25,1.45,225,431,8,9,42545724,2026-03-20 13:30:00+00:00,7250.0,50,ESH6 C7250,42140878,OCAFPS,6862.375,1,1.35,0.05560562323091743,call,0.11304871213367017,0.00026731647336490557,0.020243274024157404
54,42566722,2026-02-27 14:14:59.653132811+00:00,1,1,M,B,0,104.0,20,128,13894,1297849607,104.0,105.5,115,79,11,11,42566722,2026-03-20 13:30:00+00:00,6875.0,50,ESH6 C6875,42140878,OCAFPS,6862.375,102,104.75,0.05560562323091743,call,0.17204873906570473,0.001429536720461045,0.4890124485879914
55,42566737,2026-02-27 14:14:59.658632961+00:00,1,1,M,B,0,46.5,13,128,14592,1297849675,46.5,47.25,141,151,8,9,42566737,2026-03-20 13:30:00+00:00,6575.0,50,ESH6 P6575,42140878,OPAFPS,6862.375,30,46.875,0.05560562323091743,put,0.23496711572320833,0.0007604581918045667,-0.21148149555664397
56,42608050,2026-02-27 14:14:59.675597971+00:00,1,1,M,A,0,50.75,4,128,14417,1297849826,50.0,50.75,78,94,6,9,42608050,2026-03-20 13:30:00+00:00,6975.0,50,ESH6 C6975,42140878,OCAFPS,6862.375,49,50.375,0.05560562323091743,call,0.14830200994660622,0.0015005541650699122,0.32640119850005184
57,42608051,2026-02-27 14:14:59.638777703+00:00,1,1,M,A,0,17.0,18,128,15156,1297849330,16.6,17.0,34,64,4,5,42608051,2026-03-20 13:30:00+00:00,7075.0,50,ESH6 C7075,42140878,OCAFPS,6862.375,17,16.8,0.05560562323091743,call,0.1271720754044162,0.0011704216868605492,0.15771833740172414
58,42608052,2026-02-27 14:14:53.074936893+00:00,1,1,A,A,0,2.0,25,128,13197,1297814599,1.75,2.0,222,526,8,10,42608052,2026-03-20 13:30:00+00:00,7225.0,50,ESH6 C7225,42140878,OCAFPS,6862.375,2,1.875,0.05560562323091743,call,0.11274062788931667,0.00034306407673046315,0.027144154009222925
59,42608056,2026-02-27 14:14:59.602887423+00:00,1,1,M,B,0,16.7,17,128,14394,1297848764,16.7,17.0,86,21,5,1,42608056,2026-03-20 13:30:00+00:00,6225.0,50,ESH6 P6225,42140878,OPAFPS,6862.375,10,16.85,0.05560562323091743,put,0.29616117629601957,0.00029850581423662416,-0.07609617206993143
60,42608057,2026-02-27 14:14:59.618736173+00:00,1,1,A,A,0,138.5,4,128,14928,1297849021,137.0,138.5,31,16,6,5,42608057,2026-03-20 13:30:00+00:00,6925.0,50,ESH6 P6925,42140878,OPAFPS,6862.375,102,137.75,0.05560562323091743,put,0.15995540649014273,0.0015006629187296744,-0.5866299614810281
61,42608058,2026-02-27 14:14:59.446528293+00:00,1,1,C,N,0,333.0,1,128,14895,1297846249,300.0,333.5,126,126,1,1,42608058,2026-03-20 13:30:00+00:00,7175.0,50,ESH6 P7175,42140878,OPAFPS,6862.375,267,316.75,0.05560562323091743,put,0.11934839512788151,0.0006021340729348258,-0.9397249694334223
62,42608059,2026-02-27 14:14:59.446632525+00:00,1,1,M,B,0,228.0,5,128,14376,1297846858,228.0,230.5,5,5,1,1,42608059,2026-03-20 13:30:00+00:00,7075.0,50,ESH6 P7075,42140878,OPAFPS,6862.375,184,229.25,0.05560562323091743,put,0.12784247138789975,0.001170604531866923,-0.8389185929999565
63,42643032,2026-02-27 14:14:59.446572071+00:00,1,1,M,A,0,562.5,11,128,13186,1297846771,555.5,562.5,11,11,1,1,42643032,2026-03-20 13:30:00+00:00,6325.0,50,ESH6 C6325,42140878,OCAFPS,6862.375,554,559.0,0.05560562323091743,call,0.28028351892928177,0.0003934633681927886,0.8955444199950856
64,42643085,2026-02-27 14:14:59.636276717+00:00,1,1,M,B,0,172.5,8,128,17667,1297849286,172.5,174.0,37,38,6,7,42643085,2026-03-20 13:30:00+00:00,6775.0,50,ESH6 C6775,42140878,OCAFPS,6862.375,168,173.25,0.05560562323091743,call,0.19503397903953265,0.0012053614786735206,0.6172586276164989
65,42643092,2026-02-27 14:14:53.075137525+00:00,1,1,A,A,0,0.6,25,128,14530,1297814600,0.3,0.6,619,740,9,10,42643092,2026-03-20 13:30:00+00:00,7375.0,50,ESH6 C7375,42140878,OCAFPS,6862.375,0,0.44999999999999996,0.05560562323091743,call,0.12352376061714494,9.693667254449836e-05,0.006956919028891765
66,42643164,2026-02-27 14:14:52.922607233+00:00,1,1,A,N,0,0.4,1,128,14940,1297811666,0.15,0.4,636,952,7,10,42643164,2026-03-20 13:30:00+00:00,7475.0,50,ESH6 C7475,42140878,OCAFPS,6862.375,0,0.275,0.05560562323091743,call,0.13620297374309764,5.446096688629261e-05,0.004059999829498044
67,42643322,2026-02-27 14:14:59.636276717+00:00,1,1,M,A,0,101.0,16,128,17667,1297849286,99.75,101.0,32,102,6,11,42643322,2026-03-20 13:30:00+00:00,6825.0,50,ESH6 P6825,42140878,OPAFPS,6862.375,71,100.375,0.05560562323091743,put,0.1838121579699796,0.0013239554841249443,-0.4403950959545066
68,42643324,2026-02-27 14:14:59.646460839+00:00,1,1,M,A,0,86.5,15,128,14093,1297849465,85.5,86.5,75,81,8,9,42643324,2026-03-20 13:30:00+00:00,6775.0,50,ESH6 P6775,42140878,OPAFPS,6862.375,60,86.0,0.05560562323091743,put,0.19494531332110027,0.00120586740658751,-0.38064184815003765
69,42643325,2026-02-27 14:14:59.446528293+00:00,1,1,C,N,0,468.5,1,128,14963,1297846250,456.5,469.0,7,7,1,1,42643325,2026-03-20 13:30:00+00:00,7325.0,50,ESH6 P7325,42140878,OPAFPS,6862.375,414,462.75,0.05560562323091743,put,0.12659668251644363,0.00018433031271535298,-0.982989718277887
70,42670701,2026-02-27 14:14:59.446721617+00:00,1,1,M,B,0,290.5,6,128,15844,1297846945,290.5,292.5,6,6,1,1,42670701,2026-03-20 13:30:00+00:00,6625.0,50,ESH6 C6625,42140878,OCAFPS,6862.375,285,291.5,0.05560562323091743,call,0.22576043761114836,0.0008601706887892399,0.7526864610626831
71,42670702,2026-02-27 14:14:59.446528293+00:00,1,1,C,N,0,251.0,1,128,14607,1297846242,250.0,251.5,7,27,2,4,42670702,2026-03-20 13:30:00+00:00,6675.0,50,ESH6 C6675,42140878,OCAFPS,6862.375,244,250.75,0.05560562323091743,call,0.216422132299957,0.000967448621821289,0.7135078645508564
72,42670703,2026-02-27 14:14:59.618795095+00:00,1,1,A,B,0,210.5,3,128,14532,1297849030,210.5,212.0,10,37,3,6,42670703,2026-03-20 13:30:00+00:00,6725.0,50,ESH6 C6725,42140878,OCAFPS,6862.375,206,211.25,0.05560562323091743,call,0.20619150412669912,0.001083009718681951,0.668729802173292
73,42670704,2026-02-27 14:14:53.074936893+00:00,1,1,A,A,0,1.1,25,128,13197,1297814599,0.9,1.1,261,411,7,8,42670704,2026-03-20 13:30:00+00:00,7275.0,50,ESH6 C7275,42140878,OCAFPS,6862.375,1,1.0,0.05560562323091743,call,0.11395984599998328,0.0002097309876899152,0.015377536286418088
